State,Mode,Year,Commute mode share (percent)
Alabama,Carpool,2000,0.123
Alaska,Carpool,2000,0.155
Arizona,Carpool,2000,0.154
Arkansas,Carpool,2000,0.141
California,Carpool,2000,0.145
Colorado,Carpool,2000,0.122
Connecticut,Carpool,2000,0.094
Delaware,Carpool,2000,0.115
District of Columbia,Carpool,2000,0.11
Florida,Carpool,2000,0.129
Georgia,Carpool,2000,0.145
Hawaii,Carpool,2000,0.19
Idaho,Carpool,2000,0.123
Illinois,Carpool,2000,0.109
Indiana,Carpool,2000,0.11
Iowa,Carpool,2000,0.108
Kansas,Carpool,2000,0.106
Kentucky,Carpool,2000,0.126
Louisiana,Carpool,2000,0.136
Maine,Carpool,2000,0.113
Maryland,Carpool,2000,0.124
Massachusetts,Carpool,2000,0.09
Michigan,Carpool,2000,0.097
Minnesota,Carpool,2000,0.104
Mississippi,Carpool,2000,0.152
Missouri,Carpool,2000,0.116
Montana,Carpool,2000,0.119
Nebraska,Carpool,2000,0.105
Nevada,Carpool,2000,0.147
New Hampshire,Carpool,2000,0.098
New Jersey,Carpool,2000,0.106
New Mexico,Carpool,2000,0.148
New York,Carpool,2000,0.092
North Carolina,Carpool,2000,0.14
North Dakota,Carpool,2000,0.1
Ohio,Carpool,2000,0.093
Oklahoma,Carpool,2000,0.132
Oregon,Carpool,2000,0.122
Pennsylvania,Carpool,2000,0.104
Rhode Island,Carpool,2000,0.18
South Carolina,Carpool,2000,0.104
South Dakota,Carpool,2000,0.14
Tennessee,Carpool,2000,0.104
Texas,Carpool,2000,0.125
United States,Carpool,2000,0.122
Utah,Carpool,2000,0.145
Vermont,Carpool,2000,0.141
Virginia,Carpool,2000,0.119
Washington,Carpool,2000,0.127
West Virginia,Carpool,2000,0.128
Wisconsin,Carpool,2000,0.127
Wyoming,Carpool,2000,0.099
Alabama,Drove alone,2000,0.83
Alaska,Drove alone,2000,0.665
Arizona,Drove alone,2000,0.741
Arkansas,Drove alone,2000,0.799
California,Drove alone,2000,0.718
Colorado,Drove alone,2000,0.751
Connecticut,Drove alone,2000,0.8
Delaware,Drove alone,2000,0.792
District of Columbia,Drove alone,2000,0.384
Florida,Drove alone,2000,0.788
Georgia,Drove alone,2000,0.775
Hawaii,Drove alone,2000,0.639
Idaho,Drove alone,2000,0.77
Illinois,Drove alone,2000,0.732
Indiana,Drove alone,2000,0.818
Iowa,Drove alone,2000,0.786
Kansas,Drove alone,2000,0.815
Kentucky,Drove alone,2000,0.802
Louisiana,Drove alone,2000,0.781
Maine,Drove alone,2000,0.786
Maryland,Drove alone,2000,0.737
Massachusetts,Drove alone,2000,0.738
Michigan,Drove alone,2000,0.832
Minnesota,Drove alone,2000,0.776
Mississippi,Drove alone,2000,0.794
Missouri,Drove alone,2000,0.805
Montana,Drove alone,2000,0.739
Nebraska,Drove alone,2000,0.8
Nevada,Drove alone,2000,0.745
New Hampshire,Drove alone,2000,0.818
New Jersey,Drove alone,2000,0.73
New Mexico,Drove alone,2000,0.758
New York,Drove alone,2000,0.563
North Carolina,Drove alone,2000,0.794
North Dakota,Drove alone,2000,0.777
Ohio,Drove alone,2000,0.828
Oklahoma,Drove alone,2000,0.8
Oregon,Drove alone,2000,0.732
Pennsylvania,Drove alone,2000,0.765
Rhode Island,Drove alone,2000,0.69
South Carolina,Drove alone,2000,0.801
South Dakota,Drove alone,2000,0.794
Tennessee,Drove alone,2000,0.773
Texas,Drove alone,2000,0.817
United States,Drove alone,2000,0.757
Utah,Drove alone,2000,0.777
Vermont,Drove alone,2000,0.755
Virginia,Drove alone,2000,0.752
Washington,Drove alone,2000,0.771
West Virginia,Drove alone,2000,0.733
Wisconsin,Drove alone,2000,0.803
Wyoming,Drove alone,2000,0.795
Alabama,Public transportation,2000,0.005
Alaska,Public transportation,2000,0.018
Arizona,Public transportation,2000,0.019
Arkansas,Public transportation,2000,0.004
California,Public transportation,2000,0.051
Colorado,Public transportation,2000,0.032
Connecticut,Public transportation,2000,0.04
Delaware,Public transportation,2000,0.028
District of Columbia,Public transportation,2000,0.332
Florida,Public transportation,2000,0.019
Georgia,Public transportation,2000,0.023
Hawaii,Public transportation,2000,0.063
